iter	Passed	Remaining
0	157	156864
1	158	78891
2	159	52901
3	161	40187
4	163	32611
5	166	27625
6	168	23838
7	168	20913
8	169	18694
9	170	16907
10	172	15473
11	172	14216
12	173	13204
13	175	12366
14	177	11637
15	178	10994
16	179	10381
17	181	9879
18	182	9441
19	184	9053
20	186	8684
21	188	8371
22	189	8070
23	191	7798
24	193	7542
25	194	7301
26	196	7080
27	198	6873
28	199	6686
29	200	6490
30	201	6292
31	202	6133
32	204	5990
33	206	5862
34	208	5735
35	210	5626
36	211	5512
37	213	5395
38	214	5285
39	217	5222
40	219	5126
41	220	5037
42	222	4948
43	223	4858
44	224	4768
45	225	4681
46	226	4595
47	227	4512
48	228	4434
49	229	4360
50	230	4289
51	231	4216
52	232	4149
53	233	4082
54	233	4018
55	234	3957
56	235	3899
57	236	3842
58	237	3790
59	238	3736
60	239	3683
61	240	3632
62	240	3582
63	241	3534
64	242	3487
65	243	3441
66	243	3396
67	244	3353
68	245	3311
69	246	3270
70	246	3231
71	247	3192
72	248	3155
73	249	3118
74	249	3081
75	250	3044
76	251	3009
77	251	2974
78	252	2939
79	252	2907
80	253	2874
81	253	2843
82	254	2809
83	254	2779
84	255	2749
85	255	2719
86	256	2690
87	256	2663
88	257	2635
89	258	2608
90	258	2581
91	258	2555
92	259	2529
93	259	2504
94	260	2480
95	260	2456
96	261	2432
97	261	2409
98	262	2387
99	262	2366
100	263	2345
101	264	2325
102	264	2305
103	265	2285
104	265	2266
105	266	2247
106	267	2228
107	267	2210
108	268	2193
109	268	2175
110	269	2157
111	271	2148
112	271	2131
113	271	2113
114	272	2097
115	273	2080
116	273	2063
117	273	2047
118	274	2030
119	274	2014
120	275	1999
121	275	1983
122	276	1968
123	276	1953
124	277	1939
125	277	1925
126	278	1911
127	278	1898
128	279	1885
129	279	1872
130	280	1859
131	280	1846
132	281	1832
133	281	1820
134	282	1808
135	282	1796
136	283	1786
137	284	1774
138	284	1762
139	285	1751
140	285	1739
141	285	1727
142	286	1715
143	286	1704
144	287	1693
145	287	1682
146	288	1671
147	288	1660
148	288	1650
149	289	1640
150	289	1629
151	290	1619
152	290	1609
153	291	1600
154	291	1590
155	292	1580
156	292	1570
157	293	1561
158	293	1552
159	293	1543
160	294	1533
161	294	1523
162	295	1516
163	295	1507
164	296	1498
165	296	1489
166	297	1481
167	297	1472
168	297	1464
169	298	1456
170	298	1448
171	299	1440
172	299	1432
173	300	1425
174	300	1417
175	301	1409
176	301	1402
177	301	1394
178	302	1387
179	302	1379
180	303	1372
181	303	1365
182	304	1358
183	304	1351
184	305	1344
185	305	1337
186	306	1331
187	306	1325
188	307	1319
189	308	1313
190	308	1307
191	309	1301
192	309	1295
193	310	1289
194	310	1283
195	311	1277
196	311	1271
197	312	1265
198	313	1260
199	313	1254
200	314	1248
201	314	1243
202	315	1237
203	315	1231
204	316	1226
205	316	1221
206	317	1215
207	317	1210
208	318	1204
209	319	1200
210	319	1195
211	320	1190
212	320	1185
213	321	1181
214	322	1176
215	322	1171
216	323	1166
217	323	1161
218	324	1156
219	324	1151
220	325	1145
221	325	1140
222	325	1135
223	326	1130
224	326	1125
225	327	1121
226	327	1116
227	328	1111
228	328	1106
229	329	1102
230	329	1097
231	330	1093
232	330	1088
233	331	1083
234	331	1079
235	332	1075
236	332	1070
237	333	1066
238	333	1062
239	334	1058
240	334	1054
241	335	1049
242	335	1045
243	336	1041
244	336	1037
245	336	1032
246	337	1028
247	337	1024
248	338	1020
249	338	1016
250	339	1012
251	339	1008
252	340	1004
253	340	1000
254	341	996
255	341	992
256	341	988
257	342	984
258	342	981
259	343	977
260	343	973
261	344	969
262	344	965
263	345	961
264	345	958
265	345	954
266	346	951
267	347	947
268	347	944
269	347	940
270	348	937
271	348	933
272	349	930
273	349	926
274	350	923
275	350	920
276	351	916
277	351	913
278	352	909
279	352	906
280	353	903
