iter	Passed	Remaining
0	1	122
1	2	133
2	4	139
3	5	131
4	6	124
5	7	120
6	9	121
7	10	119
8	11	117
9	12	115
10	14	114
11	15	112
12	16	110
13	18	111
14	19	112
15	21	111
16	22	109
17	23	107
18	24	105
19	25	103
20	27	103
21	28	102
22	29	100
23	31	98
24	32	97
25	33	96
26	35	95
27	36	94
28	37	92
29	39	91
30	40	90
31	41	88
32	42	86
33	43	85
34	44	83
35	45	81
36	47	80
37	48	79
38	50	78
39	51	76
40	52	75
41	52	72
42	53	71
43	54	69
44	55	68
45	56	66
46	58	65
47	59	63
48	60	62
49	61	61
50	62	59
51	63	58
52	65	57
53	66	56
54	66	54
55	67	53
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	76	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	27
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	111	3
97	111	2
98	112	1
99	113	0
